,title,reviews,stars
404,excellent evening out,"We arrived early, but were shown to our table without any query.  The service was first class, and the food was excellent.",5
405,Virgin Experience,"The restaurant was relaxing, friendly and professional. The staff were welcoming and polite. The food was excellent. Thank you Tomasz for a great evening.",5
406,Virgin experience gift,The ambiance was good and the staff very attentive without being intrusive. The food was well presented but we thought the added extras a little overpriced as were two glasses or a red wine at the price of a bottle. So check this out before...More,3
407,Disappointment,"Overbearing service. Poor choice of meal and drink. Alcohol measures very short.  No bread with soup. Salmon starter not available at 6pm. Sticky toffee pudding was dry. Lemon posset too sweet. Service charged on top of a Virgin Experience. Our Shard visit great, this restaurant...More",1
408,Amazingly adequate,"After purchasing a package with a trip to the shard, the meal was a set menu, so I was under no illusion that this was going to be my greatest ever dining experience. 
Staff were friendly, helpful, attentive, we never had to wait long for...More",2
409,Lunch in the City,"Outstanding service, food and value for money.  The staff were very welcoming, polite and knowledgeable. The room was fashionably decorated with decent sized tables and smart tableware. Could do without the music. Highly recommended.",5
410,Disappointed,"Was very disappointed from the minute we sat down. Waiter rushed us to order, wine arrived after our starter No waiter poured our wine for us or at anytime asked if we were ok. We had a Virgin experience where we had to pay extra...More",1
411,Groupon deal,"I bought this along with a view from the shard from groupon for my bf’s birthday. Food was good, although could do with more  vegetarian options, and service was ok. A great evening thanks",4
412,Anniversary lunch,"Great restaurant located in an area of London best known for its long established Market that is Petticoat Lane.
The restaurant is very pleasant and nicely decorated. The concierge was polite and informed us of the menu and specials. Our waiter was again very attentive...More",5
413,delicious meal is lovely surroundings,"We had a lovely meal in this well situated restaurant in Central London. The ambiance was delightful, the service attentive and yet not invasive and the food was delicious.",5
414,Not very good,Food wasn’t great. Very expensive Had to pay supplement charges on near enough everything. Took 20 minutes to get a drink. Won’t be coming again,2
415,Good service but overpriced food,We visited the restaurant as gift experience which offered a 3 course meal and a cocktail each. Cons -  We were excited to try the steaks from an award winning butcher. Despite paying extra for a different cut of steak we found the tastiest part...More,2
416,Nothing to shout about,"Had a voucher for a three course meal! Well 2 items from the 4 mains included were not available, only 4 options of starters and desserts. The additional charges on the actual steaks as only one included on the set menu was a bit ridiculous...More",2
417,"Great staff and nice enough, but overpriced for what it was.","The free cocktail was so small, it was hardly worth drinking.  The starter was OK, the mains were nice enough and the deserts were alright, but nothing was worth writing home about.  We had a voucher, which with the few extras we added came to...More",3
418,Lovely food and good service,We went to the restaurant as we had a Virgin experience voucher for a 3 course meal and cocktail on arrival. Before we went I got an email confirming my booking and said I could upgrade to a VIP package for £55 which included a...More,4
419,Disappointing,The drinks we order came very slowly and wasn’t even the drinks we had ordered. I order and gin and tonic because my main came I have finished my main and order dessert by the time my drink came and it was Gin and lemonade...More,2
420,below expectations,"it feels like a pop up restaurant or canteen, they overcharge and overestimate
dark, cold location 
people go there only with vouchers, so most probably they cannot attract clients otherwise. they are very upset if you do not order anything above the voucher value...

total...More",1
421,Good n bad,"Food was great, service was average. Had to wait ages for our starter (waiter got our order wrong) and mains took long too. Nice settings, bit smaller than expected. Bought a deal on Wowcher which was misleading. Thought I was saving but actually it's like...More",3
422,Good but could be better,The location was nice but some of the dishes coming out could have been thought about more. In some cases the consistency and texture could be a little off putting.,3
423,Excellent Sunday Lunch,"Excellent food, good service from waiting staff, although not a positive welcome when we arrived, very offish attitude. Nice atmosphere, toilets need an upgrade, tatty paintwork, broken toilet seat.  Could not fault the food, thoroughly enjoyed all courses.",4
424,Excellent food,"Recently visited this restaurant 
We had a lovely meal and the service was also very good
Tasty cocktails
Good choice of items on the menu
My husband had a steak which he said was cooked perfectly and the accompanying sauce was delicious 
The side order...More",5
425,A little disappointing,"The food we were served was absolutely delicious, however many items on the menu weren’t available during our visit. I’d purchased the meal as part of an experience package for my boyfriend and I and was expecting something far more luxury; instead we were dismissed...More",3
426,Great food - terrible service ,"Went for dinner last night. The food was amazing but the service was terrible and the ladies toilet was a disgrace. 
Made to wait 30 mins for our first drink (lost order 3 times.....it was 2 glasses of champagne!). Had to ask to order food...More",3
427,Not everything was available,"There was a choice of five starters, but the one we chose (Salmon) was not available. Then my partner's first choice of main course (Beef Wellington) was also not available. This was at 3.30 in the afternoon, so disappointing that menu choices were limited. Other...More",4
428,Average,"Very high prices for average food, have had much better steaks in other places for half the price. Not much flavour in the food, also felt rushed to pay and leave. Had the pate to start with, was not nice at all, so so bland,...More",3
429,Steak meal for 2,The first choice starters and main course were not available and the second choice of steak had a £12.50 supplement which with both having the same meant an extra £25 the coffees were extortionate and not only did they add vat to the overall bill...More,2
430,"Food was very basic and small portions, my carrot soup looked like it had more cream than carrots, disappointed with lim","Food was very basic, limited choice in starters, wanted smoked salmon platter you ran out, my carrot soup tasted like it had more cream than carrots, my partner had fillet stake was tough, mash potatoes was watery and awful purée spinanch, waiter said no vegetables...More",1
431,Great experience - Great Food,"We were given this as a gift experience from our Son - We had a three course Sunday Lunch, Which all courses were amazing - The staff were extremely attentive and friendly - My only slight concern would be the prices of the drinks (Though...More",4
432,Wonderful Lunch,"Incredible food, fantastic atmosphere and outstanding service! Thank you to all at the London Steakhouse for making our lunch such an enjoyable and memorable occasion.",5
433,Sunday Lunch,Once more a fabulous Sunday Lunch - well mannered tentative staff and excellent food and cocktails. We will certainly be going again - still waiting for the champagne Marco!!,5
434,Not as nice as expected,We was actually disappointed considering the amount spent for a 3 course meal £179 to be precise.  When we arrived the Matre de took ages to fin us a table we even ended up hanging up our own coats.  The restaurant looked very tired and...More,3
435,Awesome experience,"Really fantastic meal, venue and service. Steak was to die for and the flavours were out of this world",5
436,What to expect at the city steakhouse,"Wonderful service, great food, not that expensive for the area, enjoyable evening out.
Looking at some negative comments i wonder if they think they are royalty?
Lovely place and will visit again soon",5
437,Look forward to returning again,"The staff were very friendly, helpful and gave us great service.
The food was delicious and for a set menu the choice was very good!
Would defiantly go again.",5
438,"Mediocre, bland and expensive food.",The service was good- the waiter was nice but the food was really disappointing. The ladies toilets were gross. The fake orchids are covered in what looks like 10 years worth of dust and the paint on the doors is rubbed off. Generally just got...More,2
439,Slow service,"Very professional staff, pleasant surroundings and good food but the service was very slow.
From being shown to our table , it was an hour waiting for our starter.",4
440,Lovely,"Really nice service, friendly staff, good food. Pecan pie was an absolute joy. Chips hmmm not so great, but nonetheless less.  Great place.",4
441,Gift Experience,After our visit to The Shard my husband and I had a very enjoyable meal at the London Steakhouse. We had booked our meal for 3pm but arrived at 2.30pm and as it was a cold day we asked if we could dine earlier they...More,5
442,Lunch menu,Excellent restaurant lovely food staff very pleasant and helpful . Have been hear three times now and will be going back lovely for special occasion as well as a treat .,5
443,Thankyou,"Took my mother here as a birthday treat , steak was the best I’d ever had ! The atmosphere and staff were so welcoming . Sometimes I feel uncomfortable in fancy places but not here . Thankyou for a memorable birthday !",5
444,Virgin voucher gift,We had a voucher as gift. Service was super could not fault it. There was only one steak option included in menu if you wanted other steak option would cost additional £15. The steak I went for was tough I couldn't even cut it let...More,3
445,Great steak and excellent wine,"Good atmosphere and very pleasant clientele all makes for a good evening, simple in every form and with quality steak normally the best formula. Enjoy",4
446,Very average ,"Food was very average, I’ve had better at my local pub, Ordered onion rings as an extra and they were full so greasy I had to leave them. 
Two liquors I ordered from the menu they didn’t have. I’m not a wine drinker but If...More",3
447,three course set meal + shard tickets,We booked this restaurant as a package with shard tickets. first we went to the shard and had cocktails then in the evening went here for a three course set meal which was lovely. The restaurant has a nice atmosphere and the staff are really...More,5
448,Lovely meal,We had a fabulous meal and the staff were lovely. Would recommend and have bought another voucher so we can go back again,5
449,Disappointing,We went here for Valentines Day 2020. I wanted a cocktail and my husband wanted a non-alcohol drink and they served them the wrong way round. We paid extra for a Fillet Steak but what was delivered was certainly not fillet. There wasn’t the choice...More,1
450,An evening out,"Pleasant restaurant amd excellent service, we had the set nenu and it was very good. So overall opinion great value with good service, what's not to like?",5
451,Not great steak,"We had a meal for two here. The service, starters, sides and desserts were fine, but the steak was poorly seasoned and quite tough to cut (despite being medium rare). Given that Hawksmoor is just a few minutes away, I can't see a reason to...More",2
452,Fantastic,"Had a really nice meal here for my husbands 60th Birthday as really good and will be going back, Cocktails to die for!!!",5
453,Groupon,"This was a groupon present and I am sure looking around at what others were ordering we were two of many

First off there was great emphasis on what was included which I accept they have to do but then every time I ordered something...More",4
454,Great little steakhouse,"Great food, great service all at a great price. Highly recommend this little hidden hem in the heart of Hatton.",5
455,Let down,"Was seated by the door, which kept opening every two minutes so we were freezing cold and there were no locks on any of the ladies loos but the woman who was supposedly in charge was oblivious to this, even though singing was heard to...More",2
456,Groupon.,"I was gifted a groupon voucher, if your gifted a voucher you use it right? I didn’t like how I was treated for using a voucher. It was ridiculous. Also what is with the posh ketchup it tasted terrible. The steak was very nice, the...More",3
457,Birthday lunch,"We were given a Virgin Experience gift for the Shard and then a 3 course meal at this restaurant. Seeing other reviews, we were a bit apprehensive whether this would be a good experience, but I have to say it was fine.  The staff were...More",4
458,The Main meal .,We both had beef and both of these was fairly tough . I struggled to eat mine and left half to it. The rest of the experience including the service was wonderful.,3
459,Bad experience,Waitress was to in your face lent across you to fill water glasses to quick to get you to order starters were very bland steak didn’t come with any sides you had to order these separate although we wasn’t informed by the waitress cocktail and...More,1
460,Warm and relaxed,"Tucked away in the back streets of London but just a 15-20 minute walk from London Bridge station, The London Steakhouse was a welcoming site.  Down some steps into the restaurant it was surprisingly large, though had a very warm and cosy feel to it....More",5
461,Lovely Sunday Lunch,"We came to this restaurant as part of the Virgin Experience Day. After reading a lot of the reviews, our expectations were quite low. However, once we arrived we had really good service from start to finish. The waiting staff were really attentive. We were...More",5
462,Couldn't use red letter days voucher,Booked in london for a three course meal and cocktail using red letter day voucher on arrival we were told we couldnt use it because I booked in advance?? If I booked 48hrs in advance i could use it. It didn't state anywhere on the...More,1
463,Good service,"We had the ""Experience"" menu bolstered by the VIP upgrade. The food was nicely cooked and well presented, the steaks a bit tough. Overall a pleasant meal in comfortable surroundings.",4
464,Phil,"We was on a Virgin experience. Did not know what to expect. Fantastic food and staff were great, defiantly will return.",5
465,Excellent service,"Beautiful setting, excellent service. All staff were amazing. Be careful on the set menu though....an 8oz steak does not come with any accompaniments so you need to pay extra for fries, salad etc.",4
466,Awful. Don’t bother. Go elsewhere.,"So angry. Just been to London steakhouse co. It was pretty awful. 

No ketchup 
No beef wellington 
8oz meant to be medium rare but was well done
10oz meant to be medium rare was rare but couldn’t eat it because so fatty.

Waiter said nothing...More",1
467,Extremely poor service ,"We went here for my birthday meal. We ordered cocktails which were too sweet to drink. Waited over an hour and had to ask again to get water for the table.
We asked for an extra 5 minutes to order food, they finally came to...More",1
468,Excellent food & service,"We had been given an 'experience voucher' so this was cheaper than it should have been, but you can see why the prices are higher than a normal steak house - the steaks and the rest of the dishes were amazing - and the portions...More",5
469,Disappointing,"A dated old basement environment redeemed by the Ailey Express cartoons by JAK on the walls. 
The staff were welcoming and helpful but the food was very average. I was asked how I wanted my steak and I asked for rare....it arrived very overcooked and...More",3
470,Birthday meal,Went here for a meal as part of a groupon deal with the Shard. Lovely restaurant with really lovely staff . The starters were nice - quite large but tasty. My husband upgraded to a ribeye steak for his main and I had the risotto....More,4
471,Good service average food.,"Whilst the service was excellent, surroundings pleasant, the food was poor, and the low lighting made it difficult to read the menu.",3
472,Great service pity food was average,"We went for a meal on Friday evening, for. 3 course meal meal was of reasonable value. However the choices we made was disappointing. The brioche served with Liver Parfait tasted stale or was just an odd combination. We chose the standard rump steak which...More",3
473,Weekend away ,"Got an experience through buyagift.com which was a big mistake, if you are expecting a full on 3 course meal you will be disappointed, we both chose the mackerel which was more of an appetizer than starter, the main was literally steak on a plate...More",3
474,Expensive for what you get,"Went as a package with Shard visit booked as a christmas present.  It was a set menu with a few choices.  husband had pea soup, thats it on its own, no slice of bread. I had beetroot salad with goats chees,  very very thin slices...More",3
475,Not what we were expecting,"We pre booked for the virgin shard and meal experience, the welcome was good, the restaurant very pleasant, however the steak had not been rested, as recommended we both had medium rare, yet both our plates were full of blood after we cut into the...More",3
476,Disappointed,"Sadly we were disappointed with this resturant, we expected more. The starter of beetroot and goats cheese salad was all beetroot and no cheese. We had to ask for more. The wine was over priced,  the toilets were tired and in need of a clean....More",3
477,Not a great experience,"The food was more than average, the waiting time was a bit unreasonable, overall really poor experience considering it was Valentines Day. I wouldn’t recommend it",1
478,Mixed Experience,"After starter, waited almost an hour for main course.  Manager very apologetic and dealt with the matter in a very professional manner.  Food good.  Men’s urinals overflowing with urine so out of use and ladies toilets not flushing.",1
479,Very poor quality rump steak and over priced sides,Fatty chewy rump steak - have bought better steak from local supermarket.  Would expect much better from a steak restaurant.  Sides £5.25 each.  Steak does not come with anything other than a sauce! Would not recommend or visit again,1
480,gift,"Nice restaurant, but noisy and busy even at 3 pm on a Friday afternoon. Staff mostly welcoming and attentive. This was a gift given to us via red letter days, paid £10 extra so that desert was included. Cocktail included but served rather unceremoniously in...More",4
481,Underwhelmed and disappointed ,I was so excited to be going to this restaurant for my wife's birthday as I am a massive fan of well produced steak and an even bigger fan of Marco Pierre White. In truth we were really left underwhelmed which broke my heart as...More,2
482,Fantastic place,"We enjoyed this restaurant as part of a Virgin experience package and we loved it, fantastic food and fantastic service I would really recommend this it makes you feel special",5
483,Expensive for what it was,"Went as part of package with shard visit. Meal voucher was £49for 2xset meals. I chose duck salad. A good size duck leg, tender, but not much salad. Husband chose to pay supplement and have beef Wellington which was tasty but didn't have any thing...More",2
484,Christmas Gift,"A wonderful Christmas gift. The menu did not have much choice although the food was ok. Steak a bit tough. Not what you would expect from a top London Steakhouse.
The drinks very very overpriced. Having to pay over £30 for two glasses of wine...More",3
485,Nice,The food was really nice the soup of the day was so nice the steak was lovely but didn’t have all the puddings available the cocktail I had was very strong (SW3) the service was outstanding the Italian waitress was really good we really enjoyed...More,5
486,Xmas present voucher - food good but hidden extras,"Good choice available for the set menu, my partner upgraded to a fillet steak. I only eat chicken, and there was none on the menu, so I had a choice of 3 different risottos, and chose butternut squash. We both ordered a side, my partner...More",4
487,Misleading menu/deal,Son bought and arranged voucher for a gift for us at Christmas. On arrival explained we had voucher for set meal from son. Was given ONE menu   I said what can we choose on menu with deal. Was told everything. Food was lovely and service...More,3
488,Not an enjoyable experience,"So many tables crammed in to one space that there is only room for 1 person down the aisles.. We were seated right by the door so every time the door opened you got a cold blast of air...& Because its so busy, people were...More",1
489,Great time,"Son bought me a bus gift voucher for Father’s Day-and finally got to use it.
Great food, great ambience, great staff-will definately return",5
490,Overpriced and underwhelming,The charm and excellent service of the waiting staff far exceeded the somewhat sterile surroundings and the overly expensive 32 oz steak for 3 which forgot to advertise that it was around 10 percent bone. For £87 I expected more flavour and texture and the...More,3
491,Three course set menu meal with cocktail,"We were given a voucher for the meal, and went on a Wednesday lunchtime.  The choice was good, the cocktail was delicious and the food was lovely. We were very well looked after by friendly staff.  The only reason for not giving a full 5...More",4
492,Just plain good!,"Great steak, decent wine and cocktails, smiling service and not rushed - ideal. We had a 5.45 table.",5
493,Special occasion made not special,"Expected more from a company that had Marco Pierres name attached to it. We paid full price, probably okay if you get one of the deals, otherwise I would avoid. I apologised to my partner after as we both left deflated. Wrote to them direct...More",1
494,"Lovely atmosphere, great attentive staff","Warm, friendly welcome. I loved that they recognised the notes I put on my reservation when booked. The waitress pointed out a non alcoholic cocktail I could have as I was pregnant and when dessert came out they wrote Happy Birthday in chocolate sauce on...More",5
495,Amazing!,"The staff and the service was impeccable. The food was on another level, absolutely amazing tastes and flavours. It all really worked. Will definitely be recommending this restaurant to my friends and family.",5
496,Shard plus London Steakhouse Co.,A very good steak and the staff were excellent. You must pay for all including all side dishes. You must book as it is very popular. I went as part of a Virgin Experience package.,4
497,Sunday treat,Our treat as a Christmas present from the family. We had a really lovely meal and was looked after well. Food wonderful.,5
498,Average,"This was a combined gift through Virgin gift experience, it felt like a meal factory and whilst pleasant enough the food was good not stunning and we wouldn't rush back.",3
499,A near perfect meal!,"Have been before but to the other branch. We both ordered the ribeye for mains, but our steaks were really different, mine was clearly a different cut. It was a shame.  The staff were really attentive and polite, I will be back.  It was also...More",4
500,Excellent lunch,"The first time that I had visited this restaurant and I was most pleased to find it was an attractive, well planned room. The food proved to be just as good as I had expected and the service hit just the right point between attentive...More",5
501,A bit disappointed,"Went as part of an experience bought for a birthday present. Overall I was a bit disappointed which is a shame as it had the potential to be great. 

You could tell they wanted to churn through the people as at times it felt rushed....More",3
502,Disappointing,"We were given a smartbox voucher for this restaurant and booked combining it as a night away. The restaurant is purely geared for voucher bookings. Once they had claimed for your voucher everything else came with a supplement, even the fries with our steak. We...More",2
503,Great meal,"We did a visit to the Shard with a meal included at the London Steakhouse, our meal was booked for 2:45 and arrived 15mins early , the welcome we got was great we were shown straight to our table and our waiter was wonderful, we...More",5
504,Expected more for the price,"Food was okay, but for the price I expected more. Nice setting and the staff were friendly and welcoming. Feel like bits were overpriced; like the £4.95 water that was pushed rather than explained or asked. In all honesty I don’t think I would come...More",3
505,Nice experience!,Delicious steaks experience! Everything is perfect incl. food and service except one of the desserts - rice pudding - is a bit out of expectation. Worth of tasting!,5
506,The worst customer service,"We had a table booked to celebrate my partners birthday but unfortunately it was an awful experience.

We just before our reservation at 8:30 to a busy entrance of lots of people waiting around. The guy told us our table was going to be about...More",1
507,Lovely steak,"Lovely food and nice restaurant. Friendly staff. Pricey with lots of hidden extras,  for example if you would like a side with your steak (chips, onion rings etc.), that is extra. And felt a little conned when charged £5.95 for table water, which was pushed...More",3
508,Casual dining at it’s best,Friendly service. Super food..shame no beef Wellington though! 😢Great value..booked using a Wowcher voucher. Easy parking. Memorable experience for the right reasons.,5
509,Dissapointing,We visited as a large business group. The service was very poor. I would have thought that in a steak restaurant it would be possible to have a steak cooked the way that you wanted it - but no... medium rare ONLY. The waitress said...More,1
510,Sunday lunch,"Lovely Sunday lunch, food very good, served quickly and very attentive staff. Will definitely be coming back.",5
511,Incredible food,"The food was amazing, Compliments to the chef. The lady who served us was very helpful and offered to change something I didn't like. Would certainly recommend going and will certainly be going back myself.",5
512,Poor service,"Really looking forward to this virgin experience, arrived at 19:00, straight to the table, took 15 mins to get are order taken. Another 15 for the drinks to come. First course came and went. 45 mins later we got are steaks. Also they had run...More",2
513,I visited here with friends,"I visited here with friends for dinner on Friday night and had high hopes but left feeling very disappointed. The price point of this restaurant is such that you should be able to expect a certain level of service, product etc. Even though they weren’t...More",1
514,Virgin experience con,RIP off Said virgin experience not available would knock £49 of bill. It was £180 for three courses I’ve had better steak from Asda most people in there on virgin experience most flabbergasted at there bill many complaints.  A virgin experience I won’t forgets,1
515,Virgin on the skimpy.....poor offer with little steak and sympathy but good food and service ,"My wonderful, long suffering partner booked us a Virgin Experience for The Shard and a “3 course meal” at Marco Pierre’s London Steakhouse in the East End. 

When we arrived at the steakhouse we had a warm welcome and were promptly shown to our table....More",2
516,First Timers,"Whilst we are both foodies, this was or first visit due to a xmas present. service is excellent and food very good surroundings very good",5
517,Average restaurant,"This place was big up more than it was. Slow kitchen, bad value for money. Had better steak and chips at a country pub near home. Totally not made out as good as it is",3
518,Experience at London Steakhouse,"We received voucher gift  to the London Steakhouse for 3 course meal only to find out that the free meal menu was limited and most options had additional supplement, we ended up paying more than double of the voucher value for a meal and a...More",2
519,Very poor service,Wasn’t happy with the meal 🥘 over priced. Staff service was very poor. Waiting too long for drinks would go there again. I wouldn’t recommend this to anyone,2
520,Excellent meal!!!!,We came to this restaurant as a gift from the virgin day experiences it was excellent the staff were very welcoming and friendly and the service was excellent. The meal was fantastic and even though we had to pay extra for the sides they were...More,5
521,Food and service OK,"Visited the restaurant as part of a groupon voucher which included a thames river cruise. Was placed on a waiting list well in advance of date booked, however the only table we could get was at 9:15pm, which led to a three hour gap between...More",3
522,Wowcher lunch & shard package,"Lovely restaurant. Staff really friendly and welcoming. Quick service but weren’t rushed. We had the set menu and the food delicious, only small complaint was my husbands rump steak was chewy, wish he’d ordered something else as my beef bourguignonne was perfect and everything else...More",4
523,Don’t go here,"The Romanian waitress that needs her roots doing thought it was acceptable to ask my partner personal questions about our relationship when I went to the toilet, she wanted to know if we were serious about each other, totally ruined our valentines meal.",1
524,Lunchtime treat,"We had been given a voucher for this so tied it in with a show. We recieved a warm welcome on arrival and shown to our table. It was a nice surprise to be offered a cocktail as part of the package, we both had...More",5
525,Virgin Experience,"I bought a virgin experience to view London from the Shard, and then have a meal at this restaurant. The advert was written to give the impression that you did the both at the Shard. When in fact the restaurant is some two changes on...More",3
526,Anti climax,Even though we had a reservation for 8.30pm we were not seated until a further 40 minutes later during which time we had to wait 15 minutes before being asked for a drink to which we had to wait a further 15 minutes before getting...More,2
527,Ok But there are better around,"Food OK checking in chaotic not enough room for the numbers when we arrived, unable to take coat until you are seated. There were people queuing past our table waiting to check in!!
Service was not good my main was served and removed whilst the...More",3
528,Service is terrible.,Our reservation was delayed by 45 mins so we were just sitting around waiting. The wait staff is forgetful and really slow. Our request for another drink was completely ignored. Service is terrible.,1
529,Title,"Very good service only issue is restricted set menu. I came 2 years ago and menu has not changed.
No vegetarian option which is surprising as all members of party should be able to dine in same restaurant",5
530,"Great food, great night","Food was amazing, had food envy for every dish that went past, it all looked so good.
We will definitely be going back to try the",5
531,Celebration Lunch,Our special lunch was part of a Virgin Experience Day Package and our expectations were more than surpassed. Quality was the keyword in every respect both for food and service. Thank you.,5
532,Poor over all experience,"Table was delayed 30 mins then ignored at the bar, forgot 1 of our portions of fries & bought them out when we had finished, moved us halfway through our meal & our waiter was quite rude & abrupt.",2
533,London steakhouse Co.,"The staff were lovely and the atmosphere made the evening feel that bit more special. The food was amazing, it was Such a lovely experience!",5
534,Disappointing and waste of money,"Extremely disappointing visit in January. Food was bland, onion rings very oily dripping in grease and puddings were both dry. Service was slow and were rude when responding to feedback.",1
535,Really beautiful steak,"We came for our anniversary meal and were not disappointed. We were given a lastminute.com voucher for ‘24 oz steak and unlimited fries plus two cocktails.’ 
Steak was lovely, fries nice and overall atmosphere was great. Can’t fault our waitress, she was so kind and...More",5
536,Not at all what we expected,I bought the virgin experience voucher for my husband for Christmas and we used it last night. We were slightly early so tried to have a drink at the bar which took ages. As we'd had a major issue with a previous booking mix up...More,1
537,Buyagift voucher,"So i had a buyagift voucher for the steak house as a present for my 50th

My husband and I went tonight....
Beetroot and goats cheese starter... no goats cheese had to ask for more. The wine was over priced for a mediocre wine and...More",3
538,Very disappointing,My mum and I went to this steakhouse as part of a Virgin experience voucher. Our table wasn’t quite ready and we were asked to wait in the bar area and have a drink. We would have done that if the bar staff didn’t completely...More,2
539,Lunch,Myself and husband came upon this restaurant.  The menu is plentiful wide choice. We only wanted lunch so we ordered the French onion soup it was delicious.  We'll be back again.,5
540,booking a table ???,"hi i haven't yet been but after reading all these reviews I'm actually not looking forward to going here at all, but they seem to have it set up in there favour as i have a groupon voucher for the shard and the meal, I've...More",3
541,Great restaurant,"Food was great waited a while for our mains, but manager was apologetic and gave us a free cocktail and coffee. Did not spoil our time or meal.",4
542,Amazing Food ,"Food and service are fantastic. Lovely staff. 
On the down side decor a bit tired but great atmosphere. Wine list extensive but very expensive",5
543,"Lunchtime Visit to London Steakhouse Co., London E1.","A very pleasant visit to this London restaurant located in the City.  Good food, a very nice ambience and the service was very efficient and attentive.  The speciality of the house, rump steak, was delicious and perfectly cooked.  So good to have an acoustic that...More",5
544,Pleasant but no wow effect,"The place was standard. I would say OK. The meat was delicious. the starters and deserts were standard. The service was good, but they left out the lime cordial in the soda and cordial drink I asked for. Also one of my orders was completely...More",4
545,Wow!,Qmazing. Most succulent steak ever eaten (from farmers thats a big plus!) Staff were attentive without being instrusive.  We added our soon to be 8 yr old son on to the booking and there was plenty for him to choose from on the very grown...More,5
546,"Lovely meal, great service","Due to us getting a little wet and lost getting there, we were a little late, but everyone was lovely and waited until we had been to the cloakroom.  The meal was great and I even had to ask for the sweet recipe which they...More",5
547,Disappointed,"We visited the London Steakhouse Co. on Saturday, we enjoyed our starter and main course and I chose Pecan pie for dessert, when it arrived I found it hard to cut into, it felt like it has been microwaved for too long and had begun...More",3
548,Shame on you Marco,"I informed the restaurant of my food allergies. Wheat/gluten,lactose and nuts. On arrival the waiter was aware of this but when I selected my starter and main he went to the chef and returned stating that I only had 1 option. When it came to...More",2
549,Overated,"Restaurant ok,food not a lot different from other good steak houses.Felt we were rushed,the minute you finished the plate was whipped away and your desert served up within a minute later.Are there better steakhouses out there ...Yes",4
550,Good food but felt rushed,"We had a meal included with our shard experience purchased by friends via virgin. The meal included a cocktail & 3 courses. Choice of approx 4 starters, 4 main courses and similar puddings included with your meal. You have to pay extra for any other...More",3
551,"Lovely environment, great service and excellent food",We visited the London Steakhouse for lunch to celebrate my birthday.  We had the set menu as part of a Virgin experience and it was delicious.  The service was faultless and the birthday decoration on my dessert was the perfect end to a great meal,5
552,Lovely night,"The whole meal was delicious and the staff were happy and polite and helpful. The only issue that occurred, after ordering the chateaubriand which was not a cheap meal and being told it came with new potatoes. They forgot to do the potatoes and we...More",5
553,Great place for lunch,"We attended this lovely restaurant as part of an experience with a visit to The Shard after a pleasant walk along the river.
Food was very good quality along with the service.
Good choices of food and we were aware of the extra payments required...More",4
554,London Steakhouse meal,"Excellent meal, very well prepared. Ambience spoilt by very loud customer on adjacent table. Certainly not a problem with this restuarant.",4
555,Wouldn’t recommend.,"My partner and I visited London Steakhouse Co. as a gift voucher from my parents. 

We arrived a bit earlier than our reservation so were happy to wait and grab a drink at the bar. The host asked us to do exactly that, but not...More",2
556,A bit disappointed,Enjoyed the meal although disappointed that it wasn't anything special.  Had better quality in different restaurants,3
557,Excellent food,I had a jacket potato and it was lovely with some peach ice tea and they were both scrumptious. The jacket potato had bacon and stringy cheese with some butter.,5
558,Great food and friendly staff,"We were treated with care attention and humour. What more can you ask for?
The food was delicious and served promptly. Cyrile the waiter was funny and even took a selfie with us after doing us the honour of taking photos of & for us",4
559,Solid steak and tough onion rings. Poor experience,"With high expectations for the ‘Michelin star’ Marco Pierre Whites famous London Steakhouse we were remarkably disappointed with the experience. With a very limited choice 3 course menu we were happy to have as it was the package we had booked (we thought). To start,...More",2
560,Excellent food and staff!! Highly recommended!,"The restaurant atmosphere was fantastic. We sat down and the waiter we had was very friendly and he knew everything about the menu. The cocktails we had were amazing, and the steaks were excellent. I would highly recommend going to this restaurant.",5
561,Would not recommend,"Staff are rude, food was cold, did not offer to take my ladies coat when we walked in, no table service",1
562,Good Meal,"Had a great meal great experiences,friendly staff .Couldn't fault the food , but looking at dress code prior to visiting no trainers or jeans .We did see plenty of people in trainers .",5
563,Birthday treat,"Very warm welcome and customer service throughout meal. Food excellent will go again, ideal location close to Liverpool street and tubes for connecting into London",5
564,Disappointing,We had an experience voucher which was a trip to the Shard and then to your restaurant for my birthday.  We arrived at the restaurant at the correct time and we were told that the table was not ready which was not a problem.  We...More,2
565,My birthday meal,Waiting long for meals too arrive too close tables steak was fatty but pudding my best meal not good,2
566,Terrible Experience and a waste of Money,We had a Virgin Experience voucher for Marco Pierre Whites Steakhouse and chose the London Steakhouse Co. Liverpool Street for Valentine Day at lunch time.  We arrived and a nice guy at the door took our coats and showed us to our seats. Waiter was...More,1
567,Excellent,Good customer service  staff are really friendly and always check your ok with the food &  excellent food,5
568,Yummy,The food was very nice (we had the set menu) and the service was excellent.The only thing that wasn’t impressive was that the restrooms  needed cleaning .,5
569,No happy,"The rating service was not to standard I didn't feel like even paying the service charge I wasn't happy with my meal dessert or anything.

Thank you
Robert Bolton",1
570,Excellent all round,"My 2nd visit to this restaurant didnt disappoint ...lovely environment, 1st class service and food delicious. Good choice if food and wine...will be back soon.",5
